eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
3.00E+001,7.20E-001,7.94E-002,1.41E-001,8.98E-002,7.75E-001,3.96E-001,3.95E-001,2.16E-001,2.70E-001,1.06E+000,2.26E+001,-1.18E+000,44.4094,30.3111,284.052
3.10E+001,4.93E-001,4.94E-001,5.46E-001,7.44E-001,1.34E-001,3.33E-001,3.08E-001,2.38E-001,1.08E-001,4.23E+000,6.00E+000,-1.50E+001,45.3741,45.8117,597.636
3.20E+001,1.72E-001,7.95E-001,4.32E-001,6.56E-001,2.74E-001,8.29E-001,2.82E-001,3.66E-001,1.86E-001,2.59E+000,3.11E+001,-1.39E+001,53.3051,201.205,723.136
3.30E+001,8.39E-002,5.63E-001,6.64E-001,6.59E-001,6.96E-001,8.86E-002,3.63E-001,2.04E-001,2.14E-001,8.90E+000,2.83E+001,-3.82E+000,52.4896,262.779,765.642
3.40E+001,5.16E-001,7.13E-001,7.09E-001,9.20E-001,2.45E-001,8.72E-001,2.10E-001,2.55E-001,3.99E-001,5.29E+000,3.57E+001,-4.67E+000,49.6032,268.274,718.247
3.50E+001,6.48E-001,3.11E-001,1.99E-001,7.86E-001,5.46E-001,3.06E-001,2.22E-001,3.91E-001,1.60E-001,3.65E+000,3.91E+001,-9.94E+000,41.3609,84.1705,548.899
3.60E+001,3.58E-001,5.32E-001,1.01E-001,7.28E-001,5.07E-001,4.35E-001,3.00E-001,2.90E-001,3.49E-001,4.35E+000,1.69E+001,-1.26E+001,48.8088,98.2441,666.718
3.70E+001,2.17E-001,4.92E-001,7.74E-001,5.34E-001,5.61E-001,4.57E-001,3.25E-001,3.83E-001,1.52E-001,9.06E+000,2.47E+001,-4.37E+000,50.392,211.441,712.491
3.80E+001,3.58E-001,7.02E-001,4.74E-001,3.18E-001,5.76E-001,5.13E-001,2.79E-001,3.20E-001,3.81E-001,4.74E+000,3.12E+001,-5.81E+000,54.9713,255.282,834.672
3.90E+001,1.04E-001,6.53E-001,6.60E-001,7.90E-001,3.28E-001,4.03E-001,3.07E-001,2.16E-001,2.31E-001,6.81E+000,3.68E+001,2.68E+000,50.1903,266.036,623.973
4.00E+001,4.11E-001,7.57E-001,7.00E-001,9.25E-002,6.27E-001,2.84E-001,2.48E-001,2.84E-001,1.49E-001,7.77E-002,2.45E+001,-6.32E+000,50.2059,159.147,809.133
4.10E+001,2.39E-002,6.34E-001,4.41E-001,8.64E-001,7.48E-001,4.38E-001,2.15E-001,2.21E-001,2.56E-001,8.32E+000,1.18E+000,-8.92E+000,44.4235,44.0548,603.689
4.20E+001,4.63E-001,7.05E-001,5.27E-001,7.85E-002,6.69E-001,7.26E-002,2.97E-001,2.70E-001,1.61E-001,4.52E-001,3.80E+001,-8.57E+000,51.3816,243.47,829.168
4.30E+001,2.14E-001,5.47E-001,6.78E-001,7.64E-002,7.08E-001,6.85E-001,2.56E-001,3.77E-001,1.22E-001,6.53E+000,1.68E+001,3.07E+000,45.1692,137.531,671.633
4.40E+001,6.72E-001,1.79E-001,3.25E-001,6.25E-001,8.26E-001,1.39E-001,2.21E-001,3.85E-001,1.34E-001,9.73E+000,1.85E+001,-3.69E+000,41.4883,86.5736,492.513
4.50E+001,5.09E-001,5.78E-001,3.19E-001,2.06E-001,2.87E-001,9.51E-001,2.98E-001,3.65E-001,3.26E-001,4.88E+000,2.71E+001,-8.84E+000,51.462,167.167,715.792
4.60E+001,2.89E-001,3.51E-001,2.59E-001,3.72E-001,7.33E-001,1.27E-001,4.00E-001,2.69E-001,3.71E-001,4.29E-002,1.30E+001,9.90E-001,52.5063,61.9661,620.774
4.70E+001,3.25E-001,7.78E-001,4.32E-001,4.60E-001,8.57E-001,8.99E-001,2.17E-001,3.22E-001,3.32E-001,2.12E+000,3.62E+001,-1.15E+001,46.6906,232.227,754.802
4.80E+001,4.45E-002,2.49E-002,3.07E-001,4.89E-002,1.99E-001,3.71E-001,3.17E-001,2.84E-001,3.95E-001,6.40E-001,4.41E+000,-1.10E+001,44.9282,2.61449,115.469
4.90E+001,6.79E-002,5.49E-001,5.17E-001,9.06E-001,5.32E-001,4.39E-001,3.40E-001,3.28E-001,3.72E-001,9.42E+000,1.25E+001,-8.87E+000,57.1532,146.25,753.939
5.00E+001,7.32E-001,2.30E-001,1.82E-001,7.69E-001,7.80E-003,5.99E-002,2.83E-001,2.32E-001,2.19E-001,9.57E+000,1.60E+001,-6.98E-001,41.7933,78.966,432.233
5.10E+001,2.85E-001,2.02E-001,4.20E-001,9.18E-001,5.82E-001,4.41E-001,2.03E-001,2.50E-001,1.42E-001,4.73E+000,3.59E+001,2.96E+000,32.633,78.0074,253.363
5.20E+001,3.35E-001,3.52E-001,6.99E-001,1.50E-001,1.09E-001,6.16E-001,3.08E-001,2.13E-001,2.41E-001,8.25E+000,5.07E+000,-6.57E+000,47.4671,54.9537,504.182
5.30E+001,2.41E-002,2.17E-001,5.36E-001,9.62E-002,3.02E-001,4.78E-001,3.89E-001,3.66E-001,2.28E-001,6.75E+000,2.02E+001,-5.92E+000,48.6672,91.0547,345.556
5.40E+001,4.60E-001,6.17E-001,5.52E-001,3.90E-001,4.87E-001,1.83E-001,3.52E-001,2.36E-001,1.71E-001,2.55E+000,3.33E+001,-1.69E+000,52.295,227.738,798.406
5.50E+001,2.79E-001,6.27E-001,4.36E-001,7.22E-003,1.65E-001,2.92E-001,3.68E-001,3.37E-001,1.19E-001,3.22E-001,2.07E+000,-6.54E+000,57.5836,8.32211,717.775
5.60E+001,2.15E-001,3.24E-002,6.91E-001,3.52E-001,1.69E-001,4.50E-001,3.49E-001,2.92E-001,3.43E-001,1.79E-002,2.16E+000,-2.84E+000,52.5753,4.83611,284.664
5.70E+001,7.18E-001,6.93E-001,5.92E-001,3.77E-001,1.22E-001,9.25E-001,2.30E-001,3.71E-001,3.28E-001,7.02E-001,3.51E+001,-1.44E+001,50.3142,170.059,752.896
5.80E+001,7.03E-001,1.80E-001,3.93E-001,7.23E-001,8.31E-001,5.01E-001,3.67E-001,2.31E-001,2.81E-001,4.91E+000,2.64E+001,-1.94E+000,46.3152,115.523,543.655
5.90E+001,4.69E-001,7.18E-001,7.17E-001,8.59E-001,8.07E-001,9.49E-001,3.21E-001,2.95E-001,2.61E-001,6.67E+000,5.61E+000,-3.01E+000,63.6906,122.708,1172.9
6.00E+001,6.86E-001,8.55E-002,6.75E-001,1.66E-002,1.78E-001,8.16E-001,3.73E-001,3.07E-001,3.22E-001,4.65E+000,2.81E+001,-1.18E+001,50.288,127.668,456.407
6.10E+001,7.51E-001,1.21E-001,6.34E-001,6.50E-002,2.16E-001,6.66E-001,2.85E-001,2.76E-001,1.92E-001,1.11E+000,9.51E+000,5.81E-001,45.8646,28.4534,418.477
6.20E+001,9.91E-002,5.44E-001,7.90E-001,5.43E-001,9.81E-001,8.75E-001,3.03E-001,2.71E-001,3.37E-001,7.78E+000,1.87E+001,-9.59E+000,54.7032,198.936,776.277
6.30E+001,3.35E-001,4.97E-001,2.15E-001,8.91E-001,3.95E-001,9.19E-001,2.36E-001,3.08E-001,1.70E-001,4.70E+000,3.21E+001,-4.86E+000,39.8983,129.598,499.612
6.40E+001,9.94E-003,7.70E-001,4.24E-001,7.58E-001,1.74E-001,9.11E-001,2.26E-001,3.34E-001,1.07E-001,9.09E+000,6.53E+000,1.51E+000,46.1174,72.0445,524.391
6.50E+001,6.67E-001,3.60E-001,6.24E-001,7.94E-001,5.16E-001,3.25E-001,3.42E-001,2.48E-001,3.31E-001,8.74E+000,1.56E+001,5.08E-001,53.3981,153.683,761.076
6.60E+001,1.74E-001,2.66E-001,7.37E-001,4.43E-003,9.85E-001,1.53E-001,3.26E-001,2.28E-001,1.55E-001,9.61E+000,1.19E+001,-1.08E+001,42.4094,74.6926,400.184
6.70E+001,5.91E-001,3.24E-001,5.04E-001,9.58E-001,5.43E-001,3.51E-001,2.46E-001,3.55E-001,1.41E-001,1.50E+000,1.24E+001,-6.19E+000,44.0739,39.795,588.923
6.80E+001,3.70E-001,6.82E-001,5.47E-001,6.65E-001,8.76E-001,6.43E-001,3.47E-001,2.41E-001,2.53E-001,6.98E+000,1.80E+001,4.80E+000,58.4451,229.474,1046.68
6.90E+001,6.39E-001,5.89E-001,5.65E-001,8.95E-001,1.56E-001,7.36E-001,2.51E-001,2.01E-001,3.37E-001,6.29E+000,1.52E+001,-4.63E+000,49.3456,134.857,733.786
7.00E+001,3.12E-001,4.02E-001,1.33E-001,4.40E-001,1.68E-001,3.07E-001,3.57E-001,3.57E-001,3.91E-001,7.33E-001,1.75E+001,-1.14E+001,51.228,53.3762,507.127
7.10E+001,4.13E-001,9.76E-002,7.30E-001,4.30E-001,7.06E-001,4.65E-001,3.67E-001,2.30E-001,3.32E-001,7.78E-001,1.18E+001,6.46E-001,51.7013,53.8159,411.071
7.20E+001,4.72E-001,3.80E-001,3.73E-001,7.53E-001,3.12E-001,1.67E-001,3.45E-001,3.80E-001,2.95E-001,1.54E+000,3.13E+001,3.18E+000,50.9365,126.852,643.03
7.30E+001,3.06E-002,1.26E-001,3.67E-001,7.78E-001,9.75E-001,3.23E-001,2.58E-001,3.86E-001,1.59E-001,8.79E+000,1.27E+000,4.69E+000,38.8231,13.1839,170.64
7.40E+001,3.16E-001,2.11E-001,2.14E-002,2.36E-001,1.59E-001,2.03E-001,3.84E-001,4.00E-001,1.31E-001,5.75E+000,3.95E+001,-5.33E-001,43.7456,80.4918,320.365
7.50E+001,5.33E-001,6.98E-001,2.37E-001,5.13E-001,9.70E-001,5.14E-001,3.82E-001,3.26E-001,2.84E-001,9.79E+000,2.04E+000,-1.01E+000,63.3049,122.003,1094.99
7.60E+001,5.68E-001,2.40E-002,5.57E-002,5.30E-001,5.55E-001,7.75E-001,2.69E-001,3.21E-001,3.47E-001,9.95E+000,3.76E+001,-2.47E+000,41.7875,46.5666,262.589
7.70E+001,7.65E-003,5.72E-001,6.85E-001,4.25E-001,9.54E-001,9.27E-002,3.41E-001,3.24E-001,1.06E-001,6.12E+000,2.11E+001,2.00E+000,48.5463,169.992,689.871
7.80E+001,5.45E-001,2.52E-002,1.13E-001,5.10E-001,1.46E-001,5.56E-001,2.89E-001,2.23E-001,2.43E-001,8.58E+000,3.20E+001,-1.63E+000,38.0783,38.0876,201.955
7.90E+001,2.26E-001,5.43E-001,1.42E-001,1.09E-001,9.58E-001,2.97E-001,3.32E-001,3.23E-001,3.58E-001,6.77E+000,2.48E+001,-1.60E+000,50.5022,177.349,684.63
8.00E+001,6.71E-001,3.77E-002,3.08E-001,2.24E-002,9.71E-001,2.33E-001,2.63E-001,2.26E-001,1.65E-001,1.92E+000,1.02E+001,-9.82E+000,38.875,10.5009,219.246
8.10E+001,3.59E-001,3.49E-001,1.98E-001,3.20E-002,9.35E-002,7.93E-001,2.18E-001,2.73E-001,1.23E-001,7.54E-001,6.35E+000,-9.44E+000,38.2519,10.8992,306.593
8.20E+001,2.69E-001,6.63E-001,7.33E-001,4.37E-001,8.28E-001,7.53E-001,2.52E-001,3.39E-001,3.07E-001,6.18E-001,1.61E+001,-6.09E+000,56.3041,140.372,903.54
8.30E+001,6.25E-001,5.66E-001,1.23E-001,8.52E-002,4.99E-001,9.14E-002,3.38E-001,3.71E-001,2.36E-001,6.37E+000,3.14E+001,-6.28E+000,54.4906,204.525,791.323
8.40E+001,5.32E-001,2.91E-001,7.31E-001,4.67E-001,8.11E-001,3.58E-002,3.39E-001,3.10E-001,3.09E-001,4.04E+000,1.09E+001,-2.74E+000,54.0333,81.3747,693.016
8.50E+001,7.16E-001,7.72E-001,6.08E-001,8.61E-001,1.38E-001,8.27E-001,2.47E-001,2.47E-001,2.18E-001,2.89E+000,1.28E+001,2.44E+000,54.565,104.512,868.602
8.60E+001,1.74E-001,6.16E-002,3.93E-001,2.58E-001,3.56E-001,8.66E-001,2.62E-001,2.06E-001,2.09E-001,7.92E+000,3.07E+001,2.18E+000,35.3431,62.0566,152.561
8.70E+001,2.34E-001,5.67E-001,4.39E-001,8.09E-001,7.38E-001,5.24E-001,3.28E-001,3.69E-001,2.23E-001,2.40E-001,2.08E+001,-1.45E+001,53.3002,129.486,829.03
8.80E+001,3.91E-001,7.12E-001,6.41E-001,8.57E-001,5.53E-002,2.54E-001,2.06E-001,3.87E-001,2.37E-001,5.34E+000,5.23E+000,-1.15E+001,48.7489,54.0314,680.031
