,eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
,3.20E+001,2.31E-001,1.18E-001,7.70E-001,9.32E-001,7.99E-001,4.06E-001,2.54E-001,2.37E-001,3.80E-001,3.92E+000,3.39E+001,-6.388046449,42.2874,142.813,318.6
,3.30E+001,2.32E-001,5.95E-001,1.72E-001,7.97E-001,2.49E-001,4.39E-001,2.91E-001,2.84E-001,3.13E-001,2.66E+000,7.03E+000,-8.839424985,49.5503,42.2336,599.447
,3.40E+001,2.40E-001,4.12E-001,5.33E-001,9.20E-001,2.07E-002,7.96E-001,2.91E-001,2.65E-001,1.76E-001,2.51E-001,9.19E+000,-6.98941561,44.8696,36.9856,478.74
,3.50E+001,2.42E-001,3.65E-001,4.56E-001,9.06E-001,1.48E-001,3.30E-001,2.05E-001,2.64E-001,1.56E-001,8.99E+000,3.78E+001,-4.920392656,34.6679,119.827,315.837
,3.60E+001,2.43E-001,2.09E-001,2.17E-001,7.54E-001,2.24E-001,1.83E-001,3.77E-001,2.30E-001,3.07E-001,9.23E+000,3.07E+001,-13.10080998,43.0602,102.111,321.812
,3.70E+001,2.67E-001,6.26E-001,5.37E-001,3.27E-001,8.32E-001,9.36E-001,3.99E-001,2.14E-001,1.93E-001,8.30E+000,1.86E+001,-14.30127119,58.0643,229.657,995.471
,3.80E+001,2.70E-001,3.74E-001,1.95E-001,5.67E-001,9.95E-001,9.54E-001,2.59E-001,2.08E-001,1.35E-001,2.96E+000,1.63E+001,-11.76396818,37.2498,56.2045,395.252
,3.90E+001,2.82E-001,1.32E-001,5.98E-001,9.89E-001,4.66E-001,7.13E-001,3.61E-001,2.74E-001,1.89E-001,4.42E+000,2.18E+001,-13.26250594,44.1425,81.9913,355.283
,4.00E+001,2.84E-001,2.04E-001,5.78E-001,5.41E-001,1.54E-001,6.67E-001,2.09E-001,2.30E-001,2.75E-001,3.29E+000,4.23E+000,0.3611345195,41.6181,22.4745,345.961
,4.10E+001,2.85E-001,4.23E-001,4.50E-001,6.42E-001,7.41E-001,4.26E-001,3.57E-001,3.69E-001,2.93E-001,6.51E+000,1.77E+001,-8.272235549,53.804,149.627,759.888
,4.20E+001,3.00E-001,5.86E-001,5.84E-001,6.70E-001,1.75E-001,2.76E-001,3.51E-001,3.68E-001,3.44E-001,4.24E+000,2.79E+001,3.076569512,58.8227,202.394,748.114
,4.30E+001,3.07E-001,4.21E-001,9.91E-002,6.63E-001,4.98E-001,4.47E-001,2.12E-001,3.61E-001,3.12E-001,3.32E+000,2.23E+001,3.62264174,41.3828,73.7387,442.424
,4.40E+001,3.09E-001,2.29E-001,6.08E-001,1.99E-001,7.27E-001,8.20E-001,3.92E-001,2.68E-001,3.49E-001,2.07E+000,3.85E+001,-1.257816696,49.3519,202.346,490.624
,4.50E+001,3.16E-001,6.10E-001,1.60E-001,4.00E-002,4.73E-001,4.91E-001,3.87E-001,3.24E-001,1.71E-001,2.49E+000,1.92E+001,-9.985916342,56.8639,130.447,810.264
,4.60E+001,3.17E-001,4.14E-001,9.78E-002,9.61E-001,3.88E-001,5.12E-001,3.53E-001,2.10E-001,2.14E-001,3.26E+000,3.77E+001,1.114941619,44.1839,150.332,489.178
,4.70E+001,3.27E-001,2.08E-001,2.52E-001,7.87E-001,1.23E-001,6.78E-001,3.81E-001,2.82E-001,3.48E-001,8.69E+000,1.38E+001,-2.497091222,48.2677,73.3691,401.749
,4.80E+001,3.33E-001,6.57E-001,7.16E-001,4.02E-002,9.62E-001,1.79E-001,3.35E-001,3.24E-001,1.86E-001,5.61E+000,3.75E+001,-3.925654781,53.0574,301.177,817.611
,4.90E+001,3.41E-001,4.67E-001,7.67E-001,4.27E-001,6.27E-001,1.62E-001,3.33E-001,3.86E-001,3.03E-001,3.32E+000,3.39E+001,-1.044424989,54.6701,234.928,745.545
,5.00E+001,3.63E-001,2.42E-001,2.17E-001,9.45E-001,6.77E-001,1.91E-001,2.22E-001,2.33E-001,1.46E-001,3.48E+000,2.09E+001,-7.82951756,34.8802,51.335,325.284
,5.10E+001,3.69E-001,6.91E-001,2.39E-001,3.41E-002,5.61E-001,7.36E-001,2.18E-001,2.09E-001,1.02E-001,3.35E+000,2.77E+001,-9.033127173,39.5232,142.117,584.637
,5.20E+001,3.85E-001,4.23E-001,2.54E-001,3.07E-001,3.98E-001,6.61E-001,3.86E-001,3.35E-001,1.82E-001,7.41E+000,3.52E+001,-9.434040885,49.2294,200.493,616.915
,5.30E+001,3.86E-001,2.18E-001,1.97E-001,6.49E-001,2.91E-001,8.53E-001,3.34E-001,3.79E-001,2.54E-001,5.53E+000,2.41E+001,-2.554484665,46.1797,79.8656,425.042
,5.40E+001,3.88E-001,7.70E-001,1.89E-001,3.59E-001,2.05E-001,3.47E-001,3.41E-001,3.88E-001,2.17E-001,6.76E+000,3.64E+001,-1.338246812,60.2001,268.705,825.038
,5.50E+001,3.89E-001,4.71E-001,7.45E-001,1.05E-001,7.17E-001,1.40E-001,2.62E-001,3.14E-001,1.79E-001,4.58E+000,1.27E+001,-14.04645866,45.7856,88.9524,654.088
,5.60E+001,4.10E-001,7.13E-001,6.56E-001,8.33E-001,6.40E-001,7.25E-001,3.01E-001,2.05E-001,1.03E-001,2.62E+000,9.01E+000,-0.2426988842,51.9056,86.6241,905.425
,5.80E+001,4.12E-001,3.53E-001,6.52E-002,2.05E-001,3.64E-001,8.50E-001,2.60E-001,3.44E-001,2.13E-001,8.63E+000,1.45E+001,-12.61062169,41.3783,74.5925,427.923
,5.90E+001,4.26E-001,3.36E-001,1.66E-001,3.39E-001,2.53E-001,3.70E-002,2.64E-001,2.72E-001,2.87E-001,1.42E+000,1.13E+001,-2.315791243,43.8479,30.0158,401.526
,6.00E+001,4.32E-001,6.71E-001,7.15E-001,2.71E-002,4.82E-001,8.98E-001,2.76E-001,3.63E-001,3.04E-001,5.10E-001,5.72E+000,-4.734683293,60.3896,46.2029,923.556
,6.10E+001,4.32E-001,4.64E-001,4.34E-001,3.81E-001,1.80E-001,6.05E-001,3.23E-001,3.64E-001,1.80E-001,2.10E+000,2.33E+001,1.340844238,48.3558,111.149,614.973
,6.20E+001,4.60E-001,4.50E-001,5.72E-001,8.45E-001,3.48E-001,6.37E-001,2.76E-001,2.18E-001,3.44E-001,4.40E+000,2.40E+000,0.210818376,50.6431,39.1252,677.858
,6.30E+001,4.84E-001,5.29E-001,7.07E-001,7.07E-001,1.08E-001,5.67E-001,2.41E-001,3.49E-001,2.81E-001,7.09E+000,4.65E+000,-7.591028862,51.2881,70.5773,735.18
,6.40E+001,4.90E-001,8.98E-003,1.98E-001,6.24E-001,8.56E-001,7.61E-001,2.23E-001,3.20E-001,2.96E-001,4.27E+000,9.73E-001,-3.016944587,41.5127,10.622,264.845
,6.50E+001,4.90E-001,4.37E-001,2.98E-001,1.53E-002,7.40E-001,5.04E-001,3.36E-001,3.22E-001,2.21E-001,2.32E+000,1.04E+000,-8.855761082,51.9488,15.632,717.751
,6.60E+001,5.09E-001,3.05E-002,4.04E-001,3.72E-001,7.66E-001,5.29E-001,3.70E-001,3.99E-001,1.70E-001,9.36E+000,2.53E+001,-11.62220398,46.0093,70.6562,330.496
,6.70E+001,5.09E-001,2.33E-001,2.56E-001,7.53E-001,5.87E-001,7.26E-001,3.83E-001,3.88E-001,3.67E-001,6.61E+000,3.71E+001,-7.844616283,51.5328,163.673,597.651
,6.80E+001,5.13E-001,5.30E-001,4.76E-001,7.63E-001,5.49E-001,5.78E-001,2.78E-001,3.49E-001,3.35E-001,4.07E+000,8.73E+000,-0.1479673875,55.5518,85.2124,864.805
,6.90E+001,5.15E-001,9.57E-002,4.28E-002,3.21E-001,4.52E-001,9.01E-001,2.04E-001,3.16E-001,1.61E-001,3.97E-001,3.85E+001,-4.374582288,34.6016,11.8197,232.56
,7.00E+001,5.28E-001,8.70E-002,7.10E-001,3.15E-001,2.66E-001,6.68E-001,3.58E-001,3.50E-001,1.77E-001,7.22E+000,3.43E+001,4.471971569,44.7044,105.692,362.617
,7.10E+001,5.29E-001,6.94E-001,4.49E-001,8.92E-001,4.26E-001,5.21E-001,2.98E-001,3.67E-001,3.35E-001,8.03E+000,2.49E+001,3.102651703,59.2189,251.588,966.13
,7.20E+001,5.31E-001,4.29E-001,5.33E-001,8.60E-001,9.14E-002,8.19E-001,2.88E-001,2.86E-001,1.86E-001,6.82E+000,3.98E+001,-9.392293577,43.632,187.755,564.551
,7.30E+001,5.56E-001,1.83E-001,2.37E-001,8.50E-002,9.04E-001,2.06E-001,3.54E-001,2.06E-001,2.01E-001,4.83E+000,1.01E+001,-12.32163295,42.6839,39.5757,367.435
,7.40E+001,5.67E-001,3.06E-001,1.47E-001,4.15E-001,8.55E-001,5.87E-001,2.11E-001,3.72E-001,1.31E-001,4.46E+000,2.73E+001,-5.06175918,38.7686,74.2687,475.693
,7.50E+001,5.87E-001,3.52E-002,7.75E-001,9.71E-001,2.93E-001,4.50E-001,2.44E-001,2.06E-001,1.29E-001,6.67E+000,3.84E+001,-10.11498491,34.6377,75.0459,246.003
,7.60E+001,5.91E-001,5.18E-001,3.56E-001,9.29E-001,1.47E-001,3.20E-001,2.60E-001,2.87E-001,1.00E-001,4.93E+000,2.52E+001,-4.155260459,42.626,111.53,592.737
,7.70E+001,5.94E-001,1.41E-001,4.71E-002,9.70E-001,9.47E-001,1.72E-001,3.90E-001,2.97E-001,1.03E-001,8.45E+000,2.06E+001,-5.131741636,43.3543,73.2834,410.145
,7.80E+001,5.95E-001,7.15E-001,2.48E-001,4.25E-001,9.44E-001,4.52E-001,3.88E-001,3.86E-001,2.78E-001,5.23E+000,9.16E+000,-3.766471329,66.8297,129.028,1185.64
,7.90E+001,6.02E-001,9.46E-002,2.02E-002,4.00E-002,6.80E-001,9.63E-001,3.19E-001,3.82E-001,3.07E-001,8.99E+000,1.58E+001,-12.1655586,46.2775,49.1025,319.887
,8.00E+001,6.05E-001,1.30E-001,2.25E-001,1.73E-001,9.35E-001,3.48E-001,2.14E-001,3.99E-001,2.91E-001,2.92E-001,2.87E+001,-4.056307203,40.621,27.9557,340.029
,8.10E+001,6.09E-001,1.31E-001,7.52E-001,9.65E-001,2.03E-001,9.02E-001,2.99E-001,2.99E-001,2.94E-001,7.10E+000,1.16E+001,2.880000881,49.7886,83.9242,530.246
