id	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	ofn1	ofn2	ofn3
53	0.644	0.00863	0.151	0.173	0.969	0.396	0.235	0.23	0.178	2.34	9.27	-12.9	37.6	4.71	181
54	0.776	0.479	0.582	0.375	0.593	0.425	0.341	0.287	0.208	6.16	34.9	-13.9	51.8	241	826
55	0.673	0.552	0.521	0.662	0.077	0.339	0.219	0.221	0.149	4.52	29.4	-8.2	41	125	556
56	0.175	0.156	0.0625	0.257	0.869	0.156	0.375	0.394	0.284	4.27	32.1	-10.8	46	69.6	286
57	0.194	0.639	0.383	0.341	0.791	0.654	0.366	0.218	0.292	4.47	2.27	2.04	60	57.7	972
58	0.782	0.729	0.0437	0.711	0.163	0.516	0.267	0.309	0.283	2.55	38.6	2.16	54	166	801
59	0.43	0.506	0.54	0.962	0.713	0.472	0.371	0.286	0.215	1.48	13.9	1.7	55.1	109	895
60	0.497	0.34	0.749	0.982	0.512	0.655	0.238	0.222	0.107	3.91	2.8	-1.19	39.8	27.3	486
61	0.336	0.702	0.577	0.797	0.582	0.154	0.323	0.259	0.261	5.26	20.4	0.189	58.1	204	936
62	0.754	0.585	0.283	0.238	0.547	0.776	0.271	0.37	0.323	3.56	2.46	-4.21	56.5	36.7	883
63	0.419	0.501	0.755	0.3	0.85	0.57	0.273	0.391	0.343	5.12	24.2	-3.12	54.8	219	841
64	0.26	0.421	0.341	0.159	0.958	0.417	0.333	0.221	0.386	8.18	13.9	-6.97	48.5	116	606
65	0.421	0.106	0.397	0.128	0.555	0.873	0.269	0.264	0.277	8.2	23.2	-4.68	40.1	81.5	305
66	0.704	0.621	0.38	0.223	0.49	0.714	0.219	0.293	0.352	3.89	19.1	0.11	49.4	133	758
67	0.544	0.0226	0.145	0.448	0.258	0.752	0.205	0.212	0.38	6.37	8.06	-12.5	37.6	19.3	205
68	0.73	0.719	0.313	0.789	0.251	0.114	0.377	0.21	0.3	2.96	5	-12.7	62.9	55.9	953
69	0.242	0.484	0.681	0.654	0.603	0.952	0.309	0.29	0.336	4.69	27.3	-12.1	51.5	219	737
70	0.198	0.709	0.772	0.423	0.752	0.191	0.359	0.301	0.314	6.4	35.2	-6.8	64.8	375	995
71	0.766	0.782	0.722	0.121	0.246	0.462	0.237	0.319	0.297	9.24	26.4	-11	56.7	250	868
72	0.775	0.241	0.279	0.482	0.754	0.662	0.336	0.309	0.197	1.6	7.07	-1.85	49.1	26.4	632
73	0.72	0.0993	0.439	0.432	0.99	0.789	0.385	0.202	0.198	7.18	20.1	1.58	42.7	77.4	377
74	0.574	0.49	0.0707	0.907	0.0257	0.909	0.212	0.201	0.134	6.14	5.09	-3.87	37.7	41	429
75	0.456	0.147	0.551	0.571	0.809	0.17	0.391	0.347	0.372	9.06	37.8	-10.1	49.5	171	480
76	0.571	0.568	0.521	0.233	0.894	0.92	0.356	0.26	0.387	7.5	2.03	-2.86	62.1	83.3	1.03e+03
77	0.0926	0.237	0.631	0.000786	0.828	0.779	0.371	0.277	0.257	0.567	36.5	-6.71	46.5	176	426
78	0.762	0.502	0.333	0.124	0.538	0.972	0.397	0.393	0.163	6.25	32.1	3.52	57.8	237	908
79	0.0529	0.565	0.579	0.457	0.232	0.437	0.382	0.314	0.363	3.99	38.4	-7.06	57.7	266	638
80	0.163	0.147	0.442	0.149	0.267	0.454	0.239	0.376	0.242	6.93	31.5	-4.29	38.7	80	223
81	0.266	0.26	0.332	0.148	0.645	0.561	0.292	0.282	0.248	9.88	18.7	0.201	41.6	102	410
82	0.442	0.588	0.639	0.54	0.17	0.261	0.222	0.203	0.239	8.22	16.9	-12.7	42.7	120	567
83	0.209	0.0463	0.656	0.974	0.31	0.9	0.328	0.348	0.173	6.42	23.1	0.429	41.8	64.9	241
84	0.678	0.0971	0.739	0.845	0.138	0.0845	0.297	0.259	0.25	8.42	10.1	-12.7	45.6	64.1	446
85	0.463	0.129	0.436	0.701	0.905	0.967	0.359	0.342	0.395	0.247	9.04	-5.51	51.9	28.6	510
86	0.788	0.121	0.632	0.562	0.206	0.607	0.306	0.276	0.384	9.77	15.4	-4.08	51.8	118	573
87	0.397	0.164	0.319	0.457	0.721	0.317	0.3	0.386	0.253	6.77	26.7	-6.56	43.6	89.5	404
88	0.273	0.307	0.0801	0.318	0.901	0.471	0.389	0.389	0.228	2.1	3.68	1.48	51	19.3	532
89	0.0962	0.491	0.674	0.227	0.676	0.429	0.37	0.389	0.105	4.83	17.2	-8.34	52.5	135	723
90	0.416	0.017	0.775	0.237	0.889	0.207	0.225	0.307	0.305	9.19	28.5	-8.25	40.9	95.8	279
91	0.155	0.239	0.388	0.676	0.12	0.295	0.254	0.344	0.374	5.93	7.94	-1.17	45.4	37.9	335
92	0.217	0.683	0.601	0.111	0.00203	0.556	0.334	0.258	0.291	5.36	24.7	-4.76	57.3	203	720
93	0.578	0.0115	0.056	0.41	0.159	0.767	0.21	0.299	0.372	1.25	21	-11.5	38.8	-2.61	214
94	0.519	0.219	0.1	0.113	0.257	0.79	0.23	0.212	0.236	8.53	35.7	-2.23	35.6	76.8	265
95	0.694	0.00518	0.131	0.693	0.127	0.746	0.339	0.335	0.117	2.42	33.6	-14	43.3	13.6	334
96	0.1	0.792	0.327	0.464	0.685	0.0246	0.256	0.389	0.382	9.8	25.6	-11.7	52.5	239	786
97	0.718	0.0566	0.685	0.601	0.971	0.429	0.397	0.336	0.33	6.55	9.31	-13.3	55.4	64.3	555
98	0.523	0.436	0.395	0.724	0.52	0.112	0.224	0.299	0.292	6.74	6.59	2.8	45.5	67.5	616
99	0.44	0.698	0.771	0.474	0.849	0.648	0.257	0.267	0.29	3.87	3.58	-4.78	58.1	62.1	1e+03
100	0.398	0.253	0.755	0.00118	0.622	0.808	0.272	0.234	0.112	8.79	11.3	-0.259	39.2	74.5	430
101	0.124	0.759	0.371	0.873	0.191	0.529	0.248	0.369	0.185	9.72	14	4.37	49	133	640
102	0.748	0.247	0.0651	0.48	0.783	0.701	0.241	0.36	0.274	6.65	10.4	-5.04	46.4	58.5	547
103	0.204	0.589	0.405	0.179	0.458	0.347	0.327	0.284	0.393	5.62	15.1	-7.78	55.4	131	737
104	0.0151	0.722	0.587	0.84	0.0043	0.509	0.378	0.322	0.204	4.71	3.7	-3.9	63.9	54.1	760
105	0.216	0.133	0.718	0.444	0.502	0.402	0.207	0.37	0.229	1.84	26.2	-6.26	39	78.9	289
106	0.638	0.305	0.428	0.717	0.961	0.239	0.286	0.215	0.367	8.24	0.575	-1.56	46.7	49.2	577
107	0.256	0.128	0.118	0.44	0.824	0.846	0.202	0.348	0.223	8.44	15.3	-10.3	35.6	37.4	228
108	0.238	0.689	0.345	0.226	0.268	0.374	0.332	0.248	0.106	0.664	26.8	-5.05	51.1	150	683
109	0.38	0.314	0.726	0.733	0.743	0.969	0.246	0.281	0.241	6.7	26.1	4.96	42.6	160	552
110	0.251	0.102	0.156	0.714	0.751	0.411	0.24	0.246	0.197	9.73	16.7	-7.62	35.4	40.5	204
111	0.378	0.438	0.66	0.557	0.142	0.035	0.252	0.39	0.209	0.833	26.4	-1.49	45.7	99.9	530
112	0.346	0.378	0.489	0.0576	0.793	0.774	0.368	0.306	0.28	0.868	26.6	-3.83	51.9	166	679
113	0.497	0.153	0.549	0.127	0.903	0.401	0.395	0.256	0.355	5.54	24.8	-12.6	48.6	120	463
114	0.0954	0.257	0.0303	0.436	0.585	0.428	0.369	0.225	0.374	9.45	29.9	-3.6	44.3	110	337
115	0.654	0.636	0.319	0.433	0.000422	0.298	0.382	0.387	0.232	2.15	1.67	-8.51	62.9	19.2	910
116	0.282	0.495	0.4	0.748	0.162	0.595	0.37	0.284	0.118	0.42	23.5	-13.1	48.4	105	602
117	0.206	0.221	0.532	0.916	0.668	0.0196	0.224	0.338	0.161	7.91	28.1	-14.5	35.9	89.2	312
118	0.33	0.319	0.731	0.944	0.688	0.414	0.206	0.27	0.185	8.2	28.2	-5.44	37.6	140	442
119	0.115	0.631	0.0341	0.807	0.575	0.354	0.289	0.28	0.214	4.94	24.4	-7.4	47.2	150	642
120	0.488	0.628	0.696	0.0983	0.399	0.723	0.252	0.376	0.18	6.88	31	-8.02	48.5	223	724
121	0.157	0.482	0.242	0.814	0.534	0.693	0.399	0.335	0.164	2.29	37.8	-6.63	50.8	209	656
122	0.529	0.617	0.245	0.854	0.0948	0.413	0.282	0.233	0.357	7.81	7.97	-11.9	49.1	86	663
123	0.651	0.0124	0.206	0.321	0.908	0.269	0.302	0.354	0.37	8.97	2.76	2.73	49.4	38.2	313
124	0.445	0.152	0.0293	0.00876	0.577	0.458	0.229	0.379	0.319	7.03	39.8	1.83	39.1	60.2	270
125	0.497	0.357	0.445	0.168	0.167	0.98	0.385	0.349	0.287	1.13	37.7	3.58	49.9	157	552
126	0.682	0.617	0.66	0.124	0.215	0.839	0.255	0.337	0.124	6.02	16.4	1.91	48.8	125	731
127	0.528	0.157	0.688	0.285	0.243	0.32	0.216	0.239	0.239	7.29	6.14	-6.59	41	39.8	367
128	0.562	0.376	0.122	0.378	0.263	0.337	0.319	0.346	0.136	5.89	21.5	-10.7	46.3	93.6	555
129	0.369	0.595	0.177	0.545	0.797	0.834	0.251	0.216	0.153	8.55	17.3	-14.2	41.4	138	670
130	0.374	0.426	0.0358	0.968	0.162	0.716	0.319	0.213	0.388	5.96	34.9	-3.25	44.4	128	446
131	0.65	0.526	0.509	0.337	0.118	0.443	0.305	0.363	0.138	9.12	20.3	-8.15	50.9	156	715
132	0.304	0.214	0.652	0.211	0.0305	0.265	0.208	0.281	0.349	5.66	3.67	-3.72	44.3	25.4	359
133	0.182	0.705	0.00306	0.654	0.727	0.391	0.315	0.366	0.315	4.68	4.35	3.63	57.5	65.1	871
134	0.287	0.535	0.657	0.15	0.597	0.916	0.246	0.25	0.159	7.21	17.8	1.39	42.9	141	628
135	0.534	0.23	0.0208	0.247	0.671	0.944	0.266	0.211	0.166	0.996	31.9	4.17	36.2	54.8	327
136	0.0461	0.515	0.49	0.784	0.421	0.928	0.371	0.273	0.172	9.98	24.8	2.53	49	205	640
137	0.429	0.66	0.165	0.984	0.303	0.0741	0.352	0.259	0.36	6.28	30.8	-9.5	54.8	212	762
138	0.0675	0.418	0.233	0.473	0.381	0.29	0.29	0.234	0.251	7.58	27.2	-2.35	41.6	128	411
139	0.193	0.184	0.421	0.564	0.59	0.833	0.246	0.34	0.23	1.33	24.4	-8.7	39.2	70.3	317
140	0.196	0.28	0.22	0.861	0.602	0.88	0.271	0.24	0.233	6.73	22.6	-3.44	39.1	90.4	369
141	0.798	0.635	0.169	0.0456	0.719	0.227	0.224	0.204	0.367	6.6	15.8	-8.27	45.6	119	699
142	0.682	0.667	0.318	0.0362	0.414	0.264	0.288	0.235	0.112	4.79	18.6	-14.4	48.8	127	752
143	0.768	0.189	0.703	0.541	0.959	0.948	0.272	0.261	0.145	4.4	21.7	-7.52	42.2	87.8	523
144	0.258	0.575	0.202	0.501	0.145	0.664	0.384	0.217	0.226	6.98	19.9	-4.92	51.7	146	651
145	0.631	0.315	0.79	0.158	0.556	0.769	0.283	0.301	0.344	9.78	9.64	-0.213	55.8	123	736
146	0.132	0.448	0.164	0.566	0.232	0.679	0.384	0.255	0.274	9.68	39.4	-10.8	47.3	208	490
147	0.674	0.74	0.796	0.763	0.335	0.703	0.371	0.338	0.158	6.99	23.4	-4.06	68.4	266	1.14e+03
148	0.483	0.344	0.628	0.178	0.304	0.49	0.242	0.364	0.306	8.5	33.4	-13.8	43.1	172	498
149	0.64	0.776	0.407	0.248	0.088	0.151	0.31	0.385	0.228	3.48	2.53	-3.97	64.5	39.3	902
150	0.406	0.365	0.348	0.0883	0.336	0.697	0.313	0.304	0.3	2.2	2.66	-14.9	48.3	15.4	531
151	0.455	0.763	0.533	0.458	0.00831	0.175	0.29	0.351	0.384	6.12	9.84	-5.37	61.9	109	852
152	0.0708	0.301	0.23	0.746	0.29	0.0625	0.396	0.237	0.178	2.79	9.09	2.75	45.5	37.1	370
153	0.459	0.663	0.312	0.787	0.278	0.871	0.283	0.226	0.296	2.17	29	-5.07	49.4	169	718
154	0.355	0.128	0.553	0.325	0.515	0.248	0.247	0.245	0.102	2.4	4.03	1.77	36.8	11.2	245
155	0.794	0.302	0.69	0.989	0.212	0.909	0.223	0.398	0.358	9.85	30.1	-3.29	49.2	208	694
156	0.332	0.734	0.0943	0.0917	0.113	0.0301	0.303	0.211	0.1	3.04	19.6	-5.31	49.4	109	623
157	0.149	0.323	0.214	0.13	0.55	0.186	0.291	0.378	0.174	5.57	3.96	-14.1	43.3	27.3	391
158	0.573	0.295	0.561	0.0222	0.538	0.421	0.205	0.298	0.354	8.93	34.3	-9.24	40.1	158	447
159	0.0315	0.239	0.0158	0.709	0.128	0.0521	0.351	0.371	0.185	4.24	6.99	-1.1	45.1	18.4	232
160	0.717	0.0535	0.0791	0.666	0.0136	0.348	0.335	0.253	0.161	2.13	36.4	1.44	40.9	17.4	297
161	0.222	0.325	0.735	0.0897	0.229	0.765	0.322	0.246	0.243	5.32	4.85	-13	48.7	41	508
162	0.773	0.758	0.332	0.0178	0.932	0.784	0.235	0.216	0.345	1.29	22.6	4.85	50.6	163	848
163	0.441	0.743	0.542	0.16	0.742	0.0238	0.215	0.327	0.23	7.12	4.25	-9.29	48.5	76.4	809
164	0.152	0.344	0.172	0.893	0.584	0.691	0.243	0.301	0.169	1.55	30.1	0.371	37.8	86.1	353
165	0.439	0.12	0.597	0.371	0.761	0.484	0.38	0.302	0.26	6.48	8.47	-7.98	49.7	53.8	451
166	0.0421	0.182	0.44	0.662	0.185	0.431	0.27	0.337	0.164	2.07	15.6	-12.3	40.3	35.1	220
167	0.581	0.369	0.508	0.454	0.604	0.63	0.379	0.336	0.122	0.934	12.1	-2.11	51.9	58.3	744
168	0.0437	0.758	0.488	0.531	0.526	0.127	0.329	0.354	0.28	7.25	22.5	-0.508	61.4	233	867
169	0.432	0.171	0.271	0.802	0.614	0.474	0.323	0.286	0.251	1.22	34.5	-13.1	42	78.3	392
170	0.447	0.113	0.567	0.995	0.183	0.225	0.258	0.397	0.297	1.19	22.9	4.74	44.8	58.1	377
171	0.182	0.73	0.272	0.938	0.227	0.844	0.337	0.222	0.131	2.68	34.7	-13.7	52.8	213	691
172	0.552	0.225	0.752	0.521	0.978	0.127	0.234	0.315	0.268	3.64	6.43	0.453	46.4	39.2	525
173	0.0648	0.712	0.369	0.91	0.8	0.0575	0.251	0.318	0.192	7.39	26.9	-2.67	47	214	709
174	0.465	0.645	0.174	0.17	0.418	0.716	0.268	0.221	0.337	6.26	21.8	-6.13	47.9	149	668
175	0.0573	0.328	0.43	0.69	0.7	0.696	0.382	0.364	0.322	3.82	6.29	4.88	54.7	52.2	583
176	0.553	0.738	0.634	0.0383	0.513	0.508	0.377	0.251	0.35	8.82	10.6	-8.23	70.6	189	1.13e+03
177	0.325	0.104	0.537	0.117	0.122	0.658	0.36	0.272	0.277	1.29	20.7	-3.74	45.4	67.5	312
178	0.787	0.612	0.571	0.421	0.345	0.504	0.305	0.329	0.394	1.77	28	-5.87	60.2	197	948
179	0.56	0.262	0.178	0.669	0.0512	0.182	0.241	0.225	0.323	3.41	34.4	2.99	39.6	72.8	353
180	0.436	0.594	0.115	0.0857	0.785	0.382	0.214	0.3	0.321	6.34	21.8	-14.2	42.2	120	596
181	0.395	0.455	0.00196	0.339	0.152	0.61	0.307	0.305	0.264	7.67	3.85	-9.02	47.6	50.7	492
182	0.434	0.266	0.73	0.371	0.116	0.488	0.272	0.201	0.358	1.04	15.8	-13.5	45.8	80.2	469
183	0.555	0.057	0.0286	0.46	0.954	0.165	0.281	0.314	0.372	6.11	36.2	4.67	42.9	37.2	269
184	0.536	0.509	0.616	0.512	0.541	0.531	0.203	0.391	0.398	8.53	12.9	-8.3	50.1	134	765
185	0.043	0.231	0.516	0.421	0.897	0.638	0.389	0.29	0.348	9.79	21.9	2.41	50.3	145	458
186	0.158	0.204	0.527	0.224	0.375	0.519	0.248	0.318	0.205	8.62	15.8	-3.02	40.1	69.4	307
