dv1,dv2,of1,of2,nlc
5.04898791437,7.49911638326,143.39775894,223.484115243,200.192302207
4.9048515013,8.01873106883,144.843073324,220.422153001,202.016104786
4.87293569132,8.11798297247,144.946854734,219.545550164,201.863646423
4.64960878931,8.86718498024,146.251203049,214.168860753,200.746144762
4.61282809945,8.97646445268,146.254260729,213.101644359,200.017720971
4.44220723791,9.70846182187,148.996882174,210.990574488,200.621131676
4.23559371579,10.7041517416,153.180483983,209.541454546,201.098793738
4.13297401934,11.2135345727,155.172375483,208.835409482,200.584095675
4.07435763817,11.5221983621,156.432963986,208.584627771,200.300605014
