dv1,dv2,of1,of2,nlc
0.4221885234,14.6185087388,19.3972610282,19.9572283966,2.7286292896
0.4317652529,12.1245566439,16.4565435980,17.0422031760,2.3669542427
0.4334883813,12.3857119830,16.8777340607,17.4680775746,2.4372749114
0.4384505704,15.4522911531,21.2930636287,21.8969999532,3.1107333079
0.4393031264,13.8496152376,19.1236260607,19.7299133463,2.7989485428
0.4456005294,4.6998845156,6.6088515762,7.2326456851,0.9772534245
0.4535419822,10.4645351276,14.9243291971,15.5705558414,2.2541538068
0.4826381339,18.6698173073,28.3176130046,29.0494142412,4.5541984638
0.4891300017,7.1786770072,11.0566708069,11.8082910644,1.7985463535
0.4895860797,17.4820387911,26.8993169379,27.6523395107,4.3881232764
0.4909808936,16.6541282445,25.6995202875,26.4568396431,4.2041645567
0.4953967410,9.3547787375,14.5795678786,15.3505710476,2.4041880172
0.4964996271,1.2373427307,2.0795872025,2.8540271130,0.3194158645
0.4979647233,18.4323676296,28.8461595733,29.6251767398,4.7863769345
0.4995126792,11.5909207387,18.2061130692,18.9899810152,3.0285837437
0.5178498619,7.9065809622,12.8905655405,13.7330416655,2.2203685636
0.5238283940,8.9764644527,14.7972986607,15.6593397040,2.5793602607
0.5360078162,12.2792504319,20.6969439074,21.5995372339,3.6943898317
0.5501744387,18.5990190779,32.1610521231,33.1119868131,5.8954841471
0.5502337732,1.6704376236,3.0401529604,3.9912927720,0.5296065755
0.5617092739,3.3542970770,6.0016210726,6.9928479306,1.1082897841
0.5875899739,9.2143778267,17.0439988420,18.1286713337,3.3315273856
0.5963461244,17.9402744947,33.6292482876,34.7464887991,6.6812004838
0.5976749633,15.1923568152,28.5480140470,29.6702392034,5.6830816677
0.6048977145,16.1790395324,30.7671931743,31.9167058376,6.1993369406
0.6099871130,4.3113722952,8.3442993292,9.5132365635,1.6799078689
0.6183027572,18.8741131215,36.6817900515,37.8828155810,7.5560972346
0.6196199686,9.8125748941,19.1391384464,20.3452866755,3.9451399439
0.6218893317,7.5439016649,14.7886889327,16.0036883959,3.0552788244
0.6369206359,13.0742533845,26.1918886956,27.4663319788,5.5541314695
0.6405855439,6.6087938783,13.3622578693,14.6514099090,2.8399133694
0.6405855439,15.5932296047,31.4072014093,32.6963534490,6.7006812502
0.6452102590,8.1179829725,16.5069434351,17.8147767647,3.5389895667
0.6455359890,9.8145483852,19.9470205521,21.2561747167,4.2829189641
0.6544084152,4.6152710657,9.5833730022,10.9287612305,2.0697771207
0.6566619271,8.0187310688,16.5977307776,17.9524008811,3.6209117491
0.6658358782,3.3687697460,7.1830654806,8.5758510519,1.5639912984
0.6683377459,6.1905697948,13.0735282329,14.4768002078,2.8956843671
0.6771111864,13.7592099299,29.3041145534,30.7444705670,6.6060535883
