dv1,dv2,of1,of2,nlc
4.2357819407,5.5059379924,92.4409787470,148.8069586560,103.4491967530
4.2357819407,7.6335998008,116.1716010370,172.5375809460,143.4251110020
4.2357819407,7.9060186296,119.3543735360,175.7203534450,148.5434957460
4.2357819407,7.9676829595,120.0783021500,176.4442820590,149.7020858720
4.2357819407,8.9544156049,131.8165005170,188.1824804260,168.2414700280
4.2357819407,9.0536050354,133.0108610860,189.3768409950,170.1051065110
4.2357819407,9.8215395910,142.3328020190,198.6987819280,184.5335677540
4.2357819407,11.5172008851,163.2970393050,219.6630192140,216.3927712330
4.2357819407,13.1258484130,183.5365991720,239.9025790810,246.6171026460
4.2357819407,13.4311334479,187.4068883530,243.7728682620,252.3529993600
4.2375944388,2.8354199337,67.8780435829,124.2922720040,53.3193426035
4.2375944388,8.4544340002,125.8989751890,182.3132036100,158.9834569530
4.2375944388,9.8435346549,142.6721692210,199.0863976420,185.1051374980
4.2375944388,9.9296420952,143.7257934010,200.1400218230,186.7243657670
4.2375944388,11.9962301627,169.3745206420,225.7887490640,225.5860228650
4.2375944388,13.3157306878,186.0297728250,242.4440012460,250.3988908740
4.2421189576,7.0084856576,109.1794030390,165.7141637590,132.0743532210
4.2679908379,10.1603465575,147.7642005440,204.9906537050,193.8135321260
4.2684666460,1.5157177120,60.7408537956,117.9800672120,28.9194965322
4.2732645172,3.6641923169,75.5702505535,132.9382131160,70.0690825530
4.2732645172,4.2303732244,80.7244187594,138.0923813220,80.8959642539
4.2732645172,6.0813922836,99.7821106633,157.1500732260,116.2923616180
4.2732645172,6.5656154540,105.1673604000,162.5353229630,125.5519938560
4.2732645172,6.9436392127,109.4557409470,166.8237035100,132.7808114690
4.2732645172,8.1179829725,123.1597506710,180.5277132340,155.2373810840
4.2732645172,8.1358013061,123.3714741120,180.7394366750,155.5781149150
4.2732645172,8.4438236190,127.0469193200,184.4148818830,161.4683190880
4.2732645172,10.9883662737,158.2795598410,215.6475224040,210.1267283390
4.2732645172,11.3781617728,163.1677145760,220.5356771380,217.5806528720
4.2732645172,12.1014703494,172.2918970430,229.6598596060,231.4122326540
4.2732645172,12.1245566439,172.5841727150,229.9521352780,231.8537038810
4.2732645172,12.8115035933,181.3078494500,238.6758120130,244.9899528370
4.2732645172,13.0876039123,184.8277392010,242.1957017640,250.2697237590
4.2732645172,13.1258484130,185.3158767920,242.6838393550,251.0010601220
4.2732645172,14.6386877329,204.7244245830,262.0923871460,279.9305632770
4.2732645172,16.5059528856,228.8956798740,286.2636424370,315.6376290690
4.2732645172,16.7702426560,232.3321911810,289.7001537440,320.6915509540
4.2732645172,19.3463442472,265.9822271750,323.3501897370,369.9534508330
4.2778748201,7.0084856576,110.3492457690,167.8410604140,134.3101861230
4.2778748201,7.2689258621,113.3514897470,170.8433043920,139.3012461100
4.2778748201,7.5031083112,116.0748634210,173.5666780660,143.7891040960
4.2778748201,7.9060186296,120.8086371990,178.3004518440,151.5104525450
4.2778748201,8.9544156049,133.3692999060,190.8611145510,171.6018674040
4.2778748201,8.9764644527,133.6367374110,191.1285520560,172.0244101600
4.2778748201,8.9940621466,133.8502727500,191.3420873950,172.3616512800
4.2778748201,9.8215395910,143.9721905970,201.4640052420,188.2193778980
4.2778748201,10.1603465575,148.1578936730,205.6497083180,194.7122536700
4.2778748201,10.1771206922,148.3656879800,205.8575026250,195.0337121510
4.2778748201,10.6180072812,153.8451056260,211.3369202710,203.4828355020
4.2778748201,10.6340998833,154.0457317100,211.5375463550,203.7912331360
4.2778748201,10.7041517416,154.9195571630,212.4113718080,205.1337026190
4.2778748201,10.8725279993,157.0230770510,214.5148916960,208.3604548190
4.2778748201,11.2135345727,161.2964777790,218.7882924240,214.8954837230
4.2778748201,11.5221983621,165.1788764570,222.6706911020,220.8106975110
4.2778748201,12.3857119830,176.1046300120,233.5964446570,237.3590191910
4.2778748201,19.5909352785,269.4931053440,326.9849199890,375.4394732510
4.2837936358,0.2357753740,57.7382692383,115.3892838960,4.5308965139
4.2837936358,3.2247379810,72.1599130661,129.8109277240,61.9698055362
4.2837936358,4.2679438667,81.3801570644,139.0311717220,82.0170981388
4.2837936358,4.5440119619,84.0436246355,141.6946392930,87.3223000740
4.2837936358,6.2451281148,101.9188794880,159.5698941460,120.0126574960
4.2837936358,6.8448116197,108.6700795870,166.3210942450,131.5367783380
4.2837936358,7.0084856576,110.5434447270,168.1944593850,134.6821031260
4.2837936358,7.4991163833,116.2282853150,173.8792999730,144.1105561770
4.2837936358,7.5031083112,116.2749368800,173.9259515370,144.1872690760
4.2837936358,7.9060186296,121.0137140050,178.6647286630,151.9299986340
4.2837936358,8.0187310688,122.3495289790,180.0005436370,154.0959941290
4.2837936358,8.1179829725,123.5292781440,181.1802928020,156.0033184460
4.2837936358,8.3427403254,126.2123280490,183.8633427060,160.3224815960
4.2837936358,8.6419717170,129.8077359350,187.4587505930,166.0728127090
4.2837936358,8.6634224042,130.0664478280,187.7174624860,166.4850306700
4.2837936358,8.7232371274,130.7885222470,188.4395369050,167.6344904980
4.2837936358,8.7968033314,131.6779209540,189.3289356120,169.0482126000
4.2837936358,8.8671849802,132.5301551280,190.1811697860,170.4007370900
4.2837936358,8.9544156049,133.5881844690,191.2391991270,172.0770484300
4.2837936358,8.9764644527,133.8559232600,191.5069379180,172.5007612460
4.2837936358,8.9940621466,134.0696993570,191.7207140150,172.8389362160
4.2837936358,9.2143778267,136.7525141400,194.4035287970,177.0727437160
4.2837936358,9.8215395910,144.2032155800,201.8542302370,188.7405743070
4.2837936358,9.8770460626,144.8882308490,202.5392455070,189.8072424430
4.2837936358,9.9296420952,145.5378906620,203.1889053200,190.8179806590
4.2837936358,9.9671978457,146.0021057320,203.6531203900,191.5396896990
4.2837936358,10.1603465575,148.3938109740,206.0448256320,195.2514294380
4.2837936358,10.2487643670,149.4909769710,207.1419916290,196.9505549150
4.2837936358,10.6180072812,154.0877485960,211.7387632540,204.0462978010
4.2837936358,10.6340998833,154.2886134810,211.9396281390,204.3555494150
4.2837936358,10.7041517416,155.1634801980,212.8144948560,205.7017363170
4.2837936358,10.8725279993,157.2695143270,214.9205289850,208.9374236850
4.2837936358,11.4835468640,164.9476940170,222.5987086750,220.6793761930
4.2837936358,11.5172008851,165.3721191780,223.0231338350,221.3261056820
4.2837936358,12.2061121521,174.0918243900,231.7428390480,234.5649168640
4.2837936358,12.2820250654,175.0561389500,232.7071536070,236.0237356910
4.2837936358,12.4543551879,177.2476158700,234.8986305280,239.3354044980
4.2837936358,12.8661580909,182.4971915720,240.1482062300,247.2490228970
4.2837936358,13.3157306878,188.2473898570,245.8984045150,255.8884616880
4.2837936358,13.4976722642,190.5797714560,248.2307861130,259.3848338500
4.2837936358,14.5533746921,204.1669381880,261.8179528460,279.6722725650
4.2837936358,14.5778834515,204.4833739530,262.1343886100,280.1432575140
4.2837936358,17.6901026246,244.9531242430,302.6041389010,339.9507885690
4.2837936358,18.7807444570,259.2416201730,316.8926348310,360.9096579930
4.2837936358,19.6694062649,270.9147523810,328.5657670380,377.9870762950
4.2889770420,5.4890207693,93.8609408662,151.6515558140,105.7379619060
4.2889770420,6.0716002277,100.1630804500,157.9536953980,116.9605036250
4.2889770420,6.1691409751,101.2393875270,159.0300024750,118.8394835500
4.2889770420,10.2404215793,149.5951181120,207.3857330600,197.2667534650
4.2889770420,12.2821531968,175.2926009690,233.0832159170,236.5977287090
4.2889770420,12.7268563550,180.9604118270,238.7510267750,245.1642850360
4.2889770420,13.3157306878,188.4965709350,246.2871858830,256.5080883110
4.2889770420,15.5742537210,217.6629416000,275.4535565480,300.0152332970
4.2889770420,15.6350800654,218.4532220170,276.2438369650,301.1869639140
4.2889770420,15.9088919013,222.0133273830,279.8039423310,306.4615487060
4.2889770420,16.5148740711,229.9068124970,287.6974274450,318.1349094530
4.2889770420,19.4662653000,268.5837386780,326.3743536260,374.9891474770
4.2889770420,19.8101650457,273.1108022600,330.9014172080,381.6138734040
4.2894801005,6.5567789723,105.5861242840,163.3902966690,126.3363940010
4.2920100150,17.9480677554,248.8306661280,306.7030438600,346.2324522320
4.3119278989,3.4259319135,74.6028892090,133.0136487000,66.7037616779
4.3119278989,5.6597947356,96.3847143450,154.7954738360,110.1976363560
4.3119278989,7.3302097560,115.2032351640,173.6139946550,142.7210396920
4.3119278989,15.5004825701,217.9475001250,276.3582596160,301.7983198010
4.3130948322,0.0610685256,58.4482368522,116.8906159250,1.1896633069
4.3130948322,5.9463495603,99.5364931548,157.9788722280,115.8396050340
4.3130948322,6.0813922836,101.0234176550,159.4657967280,118.4703443770
4.3130948322,6.9436392127,110.7597793290,169.2021584020,135.2675983390
4.3130948322,8.1179829725,124.5600086980,183.0023877710,158.1447460620
4.3130948322,8.4645780588,128.7262095710,187.1685886450,164.8966932020
4.3130948322,8.7968033314,132.7529067080,191.1952857810,171.3687049750
4.3130948322,9.2143778267,137.8557500230,196.2981290960,179.5033872900
4.3130948322,9.4086524795,140.2443482680,198.6867273410,183.2880115910
4.3130948322,10.6180072812,155.2906937390,213.7330728120,206.8472021760
4.3130948322,10.8725279993,158.4912114650,216.9335905380,211.8054676060
4.3130948322,11.1575370241,162.0871965590,220.5295756320,217.3576694280
4.3130948322,11.2135345727,162.7951544770,221.2375335500,218.4485460830
4.3130948322,11.5172008851,166.6420922660,225.0844713390,224.3642066630
4.3130948322,11.5909207387,167.5779167890,226.0202958620,225.8003278730
4.3130948322,13.1258484130,187.2109496930,245.6533287660,255.7019362040
4.3130948322,13.3157306878,189.6569719290,248.0993510020,259.4009934990
4.3130948322,19.0662343889,264.8750692810,323.3174483540,371.4253658850
4.3135408379,7.3098405764,115.0196008070,173.4740672480,142.4309435560
4.3135408379,15.2056088462,214.1879001490,272.6423665910,296.2785840100
4.3135408379,15.5742537210,218.9981538630,277.4526203040,303.4615638290
4.3135408379,17.7210948606,247.1573487410,305.6118151830,345.2923816130
4.3284369560,0.9766882942,60.3387012936,119.1975909950,19.1622628602
4.3284369560,5.5448074292,95.6526348494,154.5115245510,108.7870696300
4.3284369560,5.5879129030,96.1153562026,154.9742459040,109.6327830720
4.3284369560,6.2451281148,103.3256259220,162.1845156230,122.5271022940
4.3284369560,6.3167593751,104.1276715710,162.9865612720,123.9324811090
4.3284369560,6.9436392127,111.2639854120,170.1228751130,136.2316315160
4.3284369560,8.1984336899,126.0674896050,184.9263793070,160.8502347590
4.3284369560,8.7232371274,132.4202418230,191.2791315240,171.1466839740
4.3284369560,8.9544156049,135.2434600900,194.1023497910,175.6823201430
4.3284369560,8.9940621466,135.7290499790,194.5879396810,176.4601706190
4.3284369560,9.8125748941,145.8382392740,204.6971289750,192.5190877920
4.3284369560,10.6340998833,156.1243745070,214.9832642080,208.6371040350
4.3284369560,10.9883662737,160.5965654610,219.4554551620,215.5876795000
4.3284369560,11.2931663689,164.4599085410,223.3187982420,221.5677445610
4.3284369560,11.3027558249,164.5816771070,223.4405668080,221.7558861400
4.3284369560,11.3886321482,165.6727350450,224.5316247470,223.4407478200
4.3284369560,11.5221983621,167.3717497580,226.2306394600,226.0612675030
4.3284369560,12.1245566439,175.0632356400,233.9221253420,237.8793140610
4.3284369560,12.7324094589,182.8688635180,241.7277532190,249.8051613260
4.3284369560,13.1745820274,188.5715767280,247.4304664290,258.4804234720
4.3284369560,13.4311334479,191.8890057180,250.7478954200,263.5138673910
4.3284369560,13.4976722642,192.7503967200,251.6092864220,264.8193343420
4.3284369560,13.9248152794,198.2892681330,257.1481578350,273.1997222140
4.3284369560,14.8238592012,209.9949857130,268.8538754140,290.8386312240
4.3284369560,15.2056088462,214.9829329840,273.8418226850,298.3284179740
4.3284369560,15.5742537210,219.8085822570,278.6674719580,305.5610939810
4.3284369560,16.1796994955,227.7515643570,286.6104540580,317.4397160030
4.3284369560,16.7418619882,235.1445639420,294.0034536440,328.4691360530
4.3284369560,16.7832414791,235.6893794280,294.5482691300,329.2809863500
4.3284369560,19.7200191113,274.5401029370,333.3989926390,386.8994765930
4.3286375303,5.6967241250,97.2954825907,156.1598273110,111.7779775580
4.3359054040,12.3857119830,178.7531614220,237.8153410420,243.8423819510
4.3427148528,4.4537284246,84.8668100004,144.1146471280,87.9579254376
4.3430104313,2.6113841229,69.1428495769,128.3987521590,51.5799743970
4.3430104313,6.7540825004,109.5597766000,168.8156791820,133.4064182230
4.3493378974,15.5004825701,219.9759433680,279.4046352410,307.0578008450
4.3493378974,15.9904252253,226.4287364120,285.8574282850,316.7633512090
4.3509032737,1.5545389343,63.1534708093,122.6249485080,30.8169091871
4.3509032737,10.7041517416,157.9373826820,217.4088603800,212.1972405250
4.3509032737,11.5221983621,168.3487133580,227.8201910570,228.4140543080
4.3513265645,11.7689918688,171.5274068590,231.0104568450,233.3518438720
4.3535966912,8.4438236190,129.9350720830,189.4802039580,167.5961969720
4.3535966912,8.7968033314,134.2443055210,193.7894373950,174.6022714790
4.3535966912,12.1014703494,175.8996669670,235.4447988410,240.1945492760
4.3535966912,16.8348782122,237.8292198510,297.3743517250,334.1450144110
4.3535966912,17.7210948606,249.5826086030,309.1277404780,351.7349768090
4.3555972233,5.5894414548,96.9629965119,156.5628644240,111.0433241360
4.3555972233,5.6076321684,97.1594562994,156.7593242120,111.4047121790
4.3555972233,6.9436392127,112.1591955320,171.7590634440,137.9466599700
4.3555972233,8.4544340002,130.1363749650,189.7362428780,167.9610498950
4.3555972233,8.4645780588,130.2597841110,189.8596520230,168.1625780800
4.3555972233,11.5221983621,168.5530362350,228.1529041470,228.9071668130
4.3555972233,12.1245566439,176.2870312230,235.8868991350,240.8739914920
4.3555972233,13.4311334479,193.2074001870,252.8072680990,266.8312598030
4.3555972233,13.9418714465,199.8668932810,259.4667611930,276.9778988890
4.3555972233,14.9501174665,213.0752832660,272.6751511780,297.0083420930
4.3555972233,15.2056088462,216.4339637930,276.0338317060,302.0840929220
4.3555972233,16.9491255362,239.4591511120,299.0590190250,336.7218810640
4.3555972233,17.0023173266,240.1641650880,299.7640330010,337.7786222910
4.3555972233,18.1997290432,256.0687030640,315.6685709760,361.5671490050
4.3556258708,11.3781617728,166.7121292650,226.3127811770,226.0486197370
4.3586071322,2.2311948809,67.0475828437,126.7298514660,44.3875907438
4.3608708467,0.4317432365,60.0363645955,119.7806432600,8.5980627435
4.3608708467,1.2578696763,62.1799983212,121.9242769850,25.0501721555
4.3608708467,1.3337444893,62.4760726401,122.2203513040,26.5612008114
4.3608708467,2.0560003454,66.0513398808,125.7956185450,40.9447525233
4.3608708467,4.7170028019,88.0088158004,147.7530944650,93.9379766194
4.3608708467,5.4937630545,96.0947340074,155.8390126720,109.4069702810
4.3608708467,6.3167593751,105.1597311650,164.9040098290,125.7967441200
4.3608708467,6.8092941618,110.7790872670,170.5233659310,135.6054559690
4.3608708467,7.4991163833,118.8468627100,178.5911413740,149.3430996460
4.3608708467,7.9060186296,123.6976292640,183.4419079280,157.4464600440
4.3608708467,8.0187310688,125.0519710130,184.7962496780,159.6911011700
4.3608708467,8.1179829725,126.2481809110,185.9924595760,161.6676789660
4.3608708467,8.1358013061,126.4632821100,186.2075607740,162.0225267950
4.3608708467,8.1984336899,127.2202051690,186.9644838340,163.2698356590
4.3608708467,8.6419717170,132.6156896920,192.3599683560,172.1027888220
4.3608708467,8.7232371274,133.6105933090,193.3548719730,173.7211699310
4.3608708467,8.7968033314,134.5128391230,194.2571177870,175.1862231950
4.3608708467,8.8671849802,135.3774231050,195.1217017690,176.5878568090
4.3608708467,8.9544156049,136.4508371600,196.1951158250,178.3250337250
4.3608708467,8.9764644527,136.7224782260,196.4667568900,178.7641312270
4.3608708467,8.9940621466,136.9393727060,196.6836513700,179.1145850710
4.3608708467,9.0536050354,137.6738455300,197.4181241950,180.3003673840
4.3608708467,9.3456556226,141.2892582690,201.0335369330,186.1164846050
4.3608708467,9.7084618219,145.8086470970,205.5529257620,193.3416828290
4.3608708467,9.8049683356,147.0157081700,206.7599868340,195.2635868450
4.3608708467,9.8215395910,147.2231730450,206.9674517090,195.5935994120
4.3608708467,10.1603465575,151.4771903810,211.2214690450,202.3408586850
4.3608708467,10.1771206922,151.6883949400,211.4326736040,202.6749115440
4.3608708467,10.6180072812,157.2583420060,217.0026206700,211.4550619550
4.3608708467,10.6340998833,157.4623039930,217.2065826570,211.7755422570
4.3608708467,10.7041517416,158.3506756850,218.0949543500,213.1706081700
4.3608708467,10.8725279993,160.4893215010,220.2336001650,216.5237808580
4.3608708467,10.9009668841,160.8509991550,220.5952778190,217.0901344100
4.3608708467,11.2135345727,164.8345370890,224.5788157540,223.3148447750
4.3608708467,11.3781617728,166.9385840570,226.6828627220,226.5933558800
4.3608708467,11.4810779558,168.2559146120,228.0001932760,228.6429069190
4.3608708467,11.6613794079,170.5673495280,230.3116281930,232.2335669850
4.3608708467,11.9962301627,174.8715950760,234.6158737400,238.9020392530
4.3608708467,12.1014703494,176.2273272750,235.9716059390,240.9978722670
4.3608708467,12.3857119830,179.8956932110,239.6399718750,246.6584760560
4.3608708467,16.5751580506,234.8087606010,294.5530392650,330.0902871580
4.3608708467,16.7898850035,237.6548991390,297.3991778030,334.3665227960
4.3608708467,17.0656486960,241.3134251870,301.0577038510,339.8582904250
4.3608708467,18.0322807925,254.1652251580,313.9095038220,359.1085362060
4.3608708467,18.2222420435,256.6955185290,316.4397971930,362.8915688440
4.3625467896,9.2143778267,139.7250158870,199.5152244790,183.6431907660
4.3635064943,0.5131219702,60.2286791598,120.0451968110,10.2310564633
4.3635064943,15.5192135347,220.9922736950,280.8087913460,309.4351034430
4.3635064943,15.6579541488,222.8237793470,282.6402969980,312.2014302410
4.3739242919,2.3662481375,68.3339007633,128.4363812120,47.4057941400
4.3769258654,8.9284873050,136.7297798720,196.9147783980,179.1203317650
4.3865339059,5.5894414548,97.9143272480,158.3638468610,112.6263502820
4.3865339059,6.7703267964,111.1710773160,171.6205969290,136.4210008210
4.3865339059,7.1928376365,116.1007582970,176.5502779100,144.9345265950
4.3865339059,7.4991163833,119.7244309360,180.1739505490,151.1059942970
4.3865339059,7.6335998008,121.3277402050,181.7772598180,153.8158136260
4.3865339059,7.7869840655,123.1649488300,183.6144684430,156.9064819970
4.3865339059,7.9318671152,124.9083649600,185.3578845730,159.8258522490
4.3865339059,8.4544340002,131.2564974850,191.7060170980,170.3554913030
4.3865339059,8.6796220619,134.0186755140,194.4681951270,174.8929946880
4.3865339059,9.7084618219,146.8119713280,207.2614909410,195.6239511050
4.3865339059,10.5923355606,157.9915658250,218.4410854380,213.4338654070
4.3865339059,10.6180072812,158.3184789880,218.7679986010,213.9511464640
4.3865339059,10.8715209229,161.5528926940,222.0024123080,219.0594057510
4.3865339059,10.8922867248,161.8183073950,222.2678270080,219.4778333340
4.3865339059,12.7268563550,185.5102448460,245.9597644590,256.4441176140
4.3865339059,13.4976722642,195.5834871590,256.0330067720,271.9759347560
4.3865339059,13.9889901569,202.0335263970,262.4830460100,281.8759116190
4.3865339059,15.5004825701,221.9962305550,282.4457501680,312.3322417120
4.3995362774,6.3403182506,106.6640117210,167.4724260870,128.5148997980
4.3995362774,11.5221983621,170.4690792410,231.2774936070,233.5488708010
4.3995362774,12.1245566439,178.2716430090,239.0800573750,245.7583548020
4.3995362774,12.2061121521,179.3316759360,240.1400903020,247.4114418450
4.3995362774,12.8115035933,187.2249053350,248.0333197010,259.6824063820
4.3995362774,13.9889901569,202.6862289340,263.4946432990,283.5494366730
4.3995362774,18.6267688212,264.5346751570,325.3430895230,377.5547589250
4.4059435764,1.2699595007,63.4684964327,124.4541573920,25.8164398462
4.4059435764,1.5485354706,64.6427215429,125.6283825020,31.4794863985
4.4159313452,4.7170028019,89.6403130182,150.9027823650,96.3250798541
4.4159313452,4.9921337259,92.4635365102,153.7260058570,101.9434797860
4.4159313452,6.5203515843,109.2501597360,170.5126290830,133.1509463550
4.4159313452,7.1786770072,116.9243252160,178.1867945630,146.5944933680
4.4159313452,7.2689258621,117.9925622460,179.2550315930,148.4374492690
4.4159313452,8.4645780588,132.4492201350,193.7116894820,172.8536512870
4.4159313452,8.5154172725,133.0749353650,194.3374047120,173.8918298770
4.4159313452,8.6419717170,134.6359498760,195.8984192230,176.4761758020
4.4159313452,8.6796220619,135.1012790560,196.3637484030,177.2450268360
4.4159313452,8.9249046375,138.1427574110,199.4052267570,182.2538989260
4.4159313452,9.4497004568,144.7042281580,205.9666975050,192.9706615240
4.4159313452,9.4936541419,145.2568865790,206.5193559250,193.8682319530
4.4159313452,9.5137806188,145.5101022260,206.7725715730,194.2792311770
4.4159313452,10.2080956056,154.3003746380,215.5628439850,208.4577147090
4.4159313452,10.6180072812,159.5356541000,220.7981234470,216.8284485290
4.4159313452,12.1245566439,179.0136909510,240.2761602980,247.5934265810
4.4159313452,12.2061121521,180.0772149860,241.3396843330,249.2588571870
4.4159313452,12.5717303588,184.8549659710,246.1174353180,256.7250819140
4.4159313452,12.6723700541,186.1728195160,247.4352888630,258.7802273310
4.4159313452,13.4976722642,197.0206697930,258.2831391400,275.6335777810
4.4159313452,14.1926106038,206.2054626300,267.4679319770,289.8247906900
4.4159313452,15.5742537210,224.5798329950,285.8423023420,318.0390803940
4.4159313452,16.5751580506,237.9689646970,299.2314340440,338.4783706640
4.4159313452,18.4924747043,263.7603793300,325.0228486770,377.6315549060
4.4159313452,19.2321485929,273.7516648630,335.0141342100,392.7363045500
4.4321508773,1.6841326196,66.0184179902,127.7317428090,34.6444744639
4.4321508773,4.4022909759,86.9823242414,148.6956490600,90.5600043129
4.4321508773,5.4331801298,97.6304739786,159.3437987970,111.7665367160
4.4321508773,8.7232371274,136.2412001480,197.9545249660,179.4466554370
4.4321508773,10.6180072812,160.2084816630,221.9218064810,218.4241774220
4.4321508773,10.8725279993,163.4846462450,225.1979710630,223.6599506720
4.4321508773,10.9883662737,164.9793702920,226.6926951100,226.0428723580
4.4321508773,11.1575370241,167.1662203220,228.8795451400,229.5229021800
4.4321508773,11.5172008851,171.8303709160,233.5436957350,236.9215864080
4.4321508773,11.5909207387,172.7887527040,234.5020775230,238.4380854970
4.4321508773,11.6613794079,173.7054652660,235.4187900840,239.8874984110
4.4321508773,13.1258484130,192.9025383500,254.6158631680,270.0132488770
4.4321508773,13.1745820274,193.5455652120,255.2588900310,271.0157533360
4.4321508773,13.4311334479,196.9346245880,258.6479494060,276.2933003830
4.4321508773,18.3681105349,263.0980584280,324.8113832460,377.8523905810
4.4362834955,3.2099137098,76.3159101022,138.1443738310,66.1546777917
4.4362834955,4.4022909759,87.1043017435,148.9327654720,90.7289626408
4.4362834955,8.4438236190,132.9349544890,194.7634182170,174.0228807860
4.4362834955,8.4645780588,133.1910868920,195.0195506210,174.4506191610
4.4362834955,8.5085468500,133.7341558950,195.5626196230,175.3567934310
4.4362834955,8.9544156049,139.2738765170,201.1023402450,184.5459201460
4.4362834955,10.8922867248,163.9138354230,225.7422991510,224.4844515610
4.4362834955,12.1014703494,179.6338691340,241.4623328630,249.4051068520
4.4362834955,12.1245566439,179.9359974770,241.7644612050,249.8809035610
4.4400937084,0.0719396677,61.9428440132,123.8775591930,1.4851876101
4.4400937084,9.5874032982,147.3797412070,209.3144563870,197.9310308610
4.4400937084,12.6314028318,186.7634573810,248.6981725610,260.7741122360
4.4400937084,16.9875307460,244.9188284980,306.8535436770,350.7059594530
4.4422072379,0.1051291824,62.0110505525,124.0047428660,2.1724487287
4.4422072379,0.1719703526,62.0401293417,124.0338216560,3.5536923756
4.4422072379,3.9395613707,82.8607534343,144.8544457480,81.4093184896
4.4422072379,4.7438905224,90.6982340594,152.6919263730,98.0304298054
4.4422072379,4.9921337259,93.2570794925,155.2507718060,103.1602673980
4.4422072379,5.6076321684,99.8374542600,161.8311465740,115.8792744190
4.4422072379,5.9463495603,103.5843283000,165.5780206140,122.8787216770
4.4422072379,6.1691409751,106.0915250210,168.0852173350,127.4826091500
4.4422072379,6.7649706578,112.9439097250,174.9376020380,139.7951698240
4.4422072379,6.7787825255,113.1050804810,175.0987727950,140.0805860490
4.4422072379,6.8448116197,113.8769305970,175.8706229100,141.4450484980
4.4422072379,7.0084856576,115.7996399200,177.7933322340,144.8273011490
4.4422072379,7.4991163833,121.6380959000,183.6317882140,154.9659712300
4.4422072379,7.5031083112,121.6860306610,183.6797229750,155.0484626810
4.4422072379,8.1179829725,129.1439202510,191.1376125650,167.7545795350
4.4422072379,8.2828265002,131.1666726190,193.1603649330,171.1609991800
4.4422072379,8.4645780588,133.4073320990,195.4010244130,174.9168159150
4.4422072379,8.5154172725,134.0359721380,196.0296644520,175.9673861050
4.4422072379,8.8671849802,138.4070886920,200.4007810060,183.2365124520
4.4422072379,8.9764644527,139.7722838050,201.7659761190,185.4947251150
4.4422072379,8.9940621466,139.9924349740,201.9861272880,185.8583737900
4.4422072379,9.3952019743,145.0329392300,207.0266315440,194.1477534730
4.4422072379,9.8215395910,150.4333017190,212.4269940330,202.9578344840
4.4422072379,10.1603465575,154.7536644000,216.7473567140,209.9591327620
4.4422072379,10.1771206922,154.9681818030,216.9618741170,210.3057629440
4.4422072379,10.4621292979,158.6214999710,220.6151922850,216.1953415470
4.4422072379,10.4803789828,158.8559598560,220.8496521700,216.5724633320
4.4422072379,10.6180072812,160.6261009250,222.6197932390,219.4164921250
4.4422072379,10.6340998833,160.8333055810,222.8269978950,219.7490387340
4.4422072379,10.8725279993,163.9086149350,225.9023072490,224.6760518210
4.4422072379,11.0153038758,165.7548379150,227.7485302290,227.6264530730
4.4422072379,11.5221983621,172.3357731360,234.3294654500,238.1012066790
4.4422072379,12.1245566439,180.2046879840,242.1983802980,250.5486780090
4.4422072379,12.7268563550,188.1193264670,250.1130187810,262.9949389980
4.4422072379,12.7615611501,188.5766659890,250.5703583030,263.7120984610
4.4422072379,12.9779340946,191.4310209220,253.4247132360,268.1833510440
4.4422072379,13.1258484130,193.3851700300,255.3788623440,271.2399359590
4.4422072379,13.5073384147,198.4354606750,260.4291529890,279.1232605530
4.4422072379,13.8661145577,203.1978055210,265.1914978350,286.5372131590
4.4422072379,13.8682255027,203.2258607070,265.2195530210,286.5808349190
4.4422072379,13.9418714465,204.2048882480,266.1985805620,288.1026962450
4.4422072379,13.9889901569,204.8315210680,266.8252133820,289.0763838570
4.4422072379,14.5778834515,212.6789843280,274.6726766420,301.2456070940
4.4422072379,14.8912657960,216.8662507440,278.8599430580,307.7215166400
4.4422072379,16.2214717531,234.7154269700,296.7091192840,335.2096429130
4.4422072379,16.4637398610,237.9780381980,299.9717305120,340.2160077600
4.4422072379,17.0343971891,245.6757009530,307.6693932670,352.0083926970
4.4422072379,17.1225115457,246.8657909060,308.8594832200,353.8292374690
4.4422072379,17.2267375315,248.2739859710,310.2676782850,355.9830220330
4.4422072379,17.9219540385,257.6802120040,319.6739043180,370.3493681090
4.4422072379,18.9135472658,271.1324839820,333.1261762960,390.8402099200
4.4422072379,19.9399318453,285.0956674030,347.0893597170,412.0499998590
4.4539606499,5.4083049695,98.0351527791,160.3573310450,112.3524488090
4.4541608330,2.7539562726,73.2790402992,135.6068208280,57.2159940489
4.4621423606,15.1192844357,220.9833377190,283.5346919510,315.2439054930
4.4621423606,18.0322807925,260.4050059640,322.9563601970,375.9811944900
4.4639870452,12.5756857789,187.1433242310,249.7464075940,262.4255683840
4.4639870452,14.3829456411,211.1984790260,273.8015623880,300.1389149880
4.4639870452,14.8238592012,217.1117080100,279.7147913720,309.3397644410
4.4639870452,15.0411763950,220.0316808180,282.6347641800,313.8746732410
4.4652920656,5.3611378210,97.8763684016,160.5160604020,111.9400072940
4.4652920656,6.5049661074,110.6831068740,173.3227988740,135.8230244810
4.4652920656,18.1040690924,261.5770783370,324.2167703370,378.0111039680
4.4769068502,1.4414877358,66.1494448746,129.1154280740,30.2548975183
