dv1,dv2,of1,of2,of3
4.09E+000,1.82E+000,4.59E-001,5.36E-003,7.18E-002
5.59E+000,1.66E+000,6.33E-001,7.23E-003,9.71E-002
1.34E+000,5.34E+000,1.84E-001,3.61E-003,4.43E-002
5.93E+000,2.85E+000,7.11E-001,5.72E-003,1.34E-001
2.15E+000,4.80E+000,2.73E-001,4.62E-003,6.35E-002
7.68E+000,2.78E+000,8.95E-001,7.15E-003,1.66E-001
5.26E+000,4.05E+000,6.76E-001,4.71E-003,1.47E-001
6.83E+000,1.24E+000,7.38E-001,1.02E-002,1.01E-001
7.28E+000,4.63E+000,9.68E-001,6.02E-003,2.22E-001
7.77E+000,5.77E+000,1.16E+000,6.58E-003,2.88E-001
7.08E+000,3.84E+000,8.96E-001,5.75E-003,1.91E-001
3.49E+000,5.84E+000,5.43E-001,4.28E-003,1.35E-001
3.06E+000,4.52E+000,4.14E-001,3.88E-003,9.42E-002
6.09E+000,5.16E+000,8.48E-001,5.10E-003,2.02E-001
2.59E+000,2.14E+000,2.92E-001,4.03E-003,4.87E-002
1.10E+000,3.56E+000,1.32E-001,3.45E-003,2.70E-002
3.92E+000,2.47E+000,4.66E-001,5.30E-003,8.33E-002
4.59E+000,4.28E+000,6.04E-001,4.38E-003,1.34E-001
1.93E+000,2.39E+000,2.20E-001,3.68E-003,3.86E-002
6.32E+000,3.74E+000,7.96E-001,5.60E-003,1.68E-001
2.95E+000,1.07E+000,3.20E-001,5.28E-003,4.08E-002
3.59E+000,3.08E+000,4.43E-001,4.64E-003,8.64E-002
1.58E+000,1.42E+000,1.65E-001,3.88E-003,2.23E-002
4.98E+000,3.21E+000,6.00E-001,4.94E-003,1.18E-001
4.83E+000,5.49E+000,7.05E-001,4.91E-003,1.72E-001
